,Unnamed: 0,protein,ligand,type,value,unit,smiles
0,0,lps+nigericin j774a.1 il-1β,GFT505 (1),IC50,39.6,uM,CSc1ccc(C(=O)/C=C/c2cc(C)c(OC(C)(C)C(=O)O)c(C)c2)cc1
1,1,lps+nigericin j774a.1 il-1β,2,IC50,49.5,uM,COc1c(C)cc(/C=C/C(=O)c2ccc(SC)cc2)cc1C
2,2,lps+nigericin j774a.1 il-1β,3,IC50,5.7,uM,COc1c(C)cc(/C=C/C(=O)c2ccc(N)cc2)cc1C
3,3,lps+nigericin j774a.1 il-1β,4,IC50,25.9,uM,COc1c(C)cc(/C=C/C(=O)c2ccc(N(C)C)cc2)cc1C
4,4,lps+nigericin j774a.1 il-1β,5,IC50,33.2,uM,COc1c(C)cc(/C=C/C(=O)c2ccc(NC(=O)NC(C)C)cc2)cc1C
5,5,lps+nigericin j774a.1 il-1β,6,IC50,9.6,uM,CCCNC(=O)Nc1ccc(C(=O)/C=C/c2cc(C)c(OC)c(C)c2)cc1
6,6,lps+nigericin j774a.1 il-1β,7,IC50,23.5,uM,COc1c(C)cc(/C=C/C(=O)c2ccc(NC(=O)Nc3ccc(F)cc3)cc2)cc1C
7,7,lps+nigericin j774a.1 il-1β,8,IC50,38.7,uM,COc1c(C)cc(/C=C/C(=O)c2ccc(NC(=O)Nc3ccc(C)cc3)cc2)cc1C
8,8,lps+nigericin j774a.1 il-1β,9,IC50,>40.0,uM,CSc1ccc(C(=O)/C=C/c2cc(C)c(OCC(=O)O)c(C)c2)cc1
10,10,lps+nigericin j774a.1 il-1β,11,IC50,31.7,uM,CCC(Oc1c(C)cc(/C=C/C(=O)c2ccc(SC)cc2)cc1C)C(=O)O
11,11,lps+nigericin j774a.1 il-1β,12,IC50,>40.0,uM,C=C(COc1c(C)cc(/C=C/C(=O)c2ccc(SC)cc2)cc1C)C(=O)O
12,12,lps+nigericin j774a.1 il-1β,13,IC50,28.9,uM,CSc1ccc(C(=O)/C=C/c2cc(C)c(OCCCCC(=O)O)c(C)c2)cc1
13,13,lps+nigericin j774a.1 il-1β,14,IC50,22.3,uM,C=CCNC(=O)Oc1c(C)cc(/C=C/C(=O)c2ccc(SC)cc2)cc1C
14,14,lps+nigericin j774a.1 il-1β,15,IC50,21.9,uM,CSc1ccc(C(=O)/C=C/c2cc(C)c(OCCCN3CCOCC3)c(C)c2)cc1
16,16,lps+nigericin j774a.1 il-1β,17,IC50,2.1,uM,CSc1ccc(C(=O)/C=C/c2cc(C)c(O)c(C)c2)cc1
29,29,lps+nigericin j774a.1 il-1β,30,IC50,12.3,uM,Cc1cc(/C=C/C(=O)c2ccc(F)cc2)cc(C)c1O
30,30,lps+nigericin j774a.1 il-1β,31,IC50,3.9,uM,Cc1cc(/C=C/C(=O)c2ccc(Cl)cc2)cc(C)c1O
31,31,lps+nigericin j774a.1 il-1β,32,IC50,28.6,uM,Cc1cc(/C=C/C(=O)c2ccc(I)cc2)cc(C)c1O
32,32,lps+nigericin j774a.1 il-1β,33,IC50,10.6,uM,Cc1cc(/C=C/C(=O)c2ccc(S(C)=O)cc2)cc(C)c1O
33,33,lps+nigericin j774a.1 il-1β,34,IC50,12.9,uM,Cc1cc(/C=C/C(=O)c2ccc(S(C)(=O)=O)cc2)cc(C)c1O
34,34,lps+nigericin j774a.1 il-1β,35,IC50,29.4,uM,Cc1cc(/C=C/C(=O)c2ccc(-c3ccccc3)cc2)cc(C)c1O
35,35,lps+nigericin j774a.1 il-1β,36,IC50,>40.0,uM,Cc1cc(/C=C/C(=O)c2ccc(-c3cccs3)cc2)cc(C)c1O
36,36,lps+nigericin j774a.1 il-1β,37,IC50,>40.0,uM,Cc1ccc(-c2ccc(C(=O)/C=C/c3cc(C)c(O)c(C)c3)cc2)s1
37,37,lps+nigericin j774a.1 il-1β,38,IC50,5,uM,Cc1cc(/C=C/C(=O)c2ccc(NS(=O)(=O)c3ccc(F)cc3)cc2)cc(C)c1O
38,38,lps+nigericin j774a.1 il-1β,39,IC50,3.4,uM,Cc1cc(/C=C/C(=O)c2ccc(NS(=O)(=O)NC(C)C)cc2)cc(C)c1O
